winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity,maridaje
Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Espana,Ribera del Duero,1182.77,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Toro Albala,Don PX Convento Seleccion,1929,4.8,69,Espana,Montilla-Moriles,227.95,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Espana,Ribera del Duero,999.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vina Sastre,Pesus Ribera del Duero,2007,4.8,68,Espana,Ribera del Duero,360.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Teso La Monja,Tinto,2012,4.8,56,Espana,Toro,1190.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Dominio de Pingus,Pingus,2017,4.8,52,Espana,Ribera del Duero,1150.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Teso La Monja,Tinto,2009,4.8,50,Espana,Toro,950.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40,Espana,Priorato,1021.21,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Sierra Cantabria,Magico,2016,4.8,40,Espana,Rioja,544.5,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Teso La Monja,Tinto,2011,4.8,32,Espana,Toro,1295.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31,Espana,Priorato,992.2,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Teso La Monja,Tinto,2015,4.8,28,Espana,Toro,1289.44,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26,Espana,Bierzo,1098.9,Red,4.0,3.0,"Carnes, pastas, quesos"
La Rioja Alta,Gran Reserva 890,1985,4.8,26,Espana,Rioja,215.34,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26,Espana,Priorato,1094.9,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Vega Sicilia,Unico Reserva Especial Edicion,,4.7,12421,Espana,Ribera del Duero,423.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2010,4.7,5266,Espana,Ribera del Duero,239.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2014,4.7,4350,Espana,Ribera del Duero,175.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2006,4.7,3929,Espana,Ribera del Duero,194.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2005,4.7,3437,Espana,Ribera del Duero,381.15,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2004,4.7,3164,Espana,Ribera del Duero,584.43,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2000,4.7,3127,Espana,Ribera del Duero,555.2,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2007,4.7,2935,Espana,Ribera del Duero,445.28,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2015,4.7,2826,Espana,Ribera del Duero,189.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2006,4.7,2765,Espana,Ribera del Duero,362.25,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2008,4.7,2480,Espana,Ribera del Duero,289.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2003,4.7,2419,Espana,Ribera del Duero,325.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2016,4.7,2177,Espana,Ribera del Duero,107.57,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2005,4.7,1892,Espana,Ribera del Duero,234.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2002,4.7,1199,Espana,Ribera del Duero,500.94,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1991,4.7,1141,Espana,Ribera del Duero,698.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1994,4.7,940,Espana,Ribera del Duero,872.47,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935,Espana,Ribera del Duero,877.85,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1990,4.7,690,Espana,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685,Espana,Ribera del Duero,113.18,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1989,4.7,675,Espana,Ribera del Duero,679.72,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1987,4.7,593,Espana,Ribera del Duero,787.59,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560,Espana,Ribera del Duero,480.06,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Pago de Carraovejas,El Anejon,2015,4.7,543,Espana,Ribera del Duero,75.1,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodegas El Nido,El Nido,2014,4.7,511,Espana,Jumilla,154.9,Red,4.0,3.0,"Carnes, pastas, quesos"
Bodegas El Nido,El Nido,2013,4.7,476,Espana,Jumilla,145.0,Red,4.0,3.0,"Carnes, pastas, quesos"
Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Espana,Ribera del Duero,290.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425,Espana,Rioja,795.0,Rioja White,3.0,3.0,"Pescados, mariscos, arroces"
Bodegas El Nido,El Nido,2016,4.7,393,Espana,Jumilla,371.78009750522,Red,4.0,3.0,"Carnes, pastas, quesos"
Bodegas El Nido,El Nido,2008,4.7,347,Espana,Jumilla,134.19,Red,4.0,3.0,"Carnes, pastas, quesos"
Vinedos de Paganos,La Nieta,2015,4.7,312,Espana,Rioja,82.58,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Vega Sicilia,Unico,1981,4.7,308,Espana,Ribera del Duero,873.86,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,303,Espana,Ribera del Duero,774.4,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Emilio Moro,Malleolus de Valderramiro,2016,4.7,300,Espana,Ribera del Duero,84.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Pingus,Pingus,2001,4.7,295,Espana,Ribera del Duero,940.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1986,4.7,292,Espana,Ribera del Duero,812.63,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Emilio Moro,Malleolus de Sanchomartin,2016,4.7,291,Espana,Ribera del Duero,116.54,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Pingus,Pingus,2004,4.7,285,Espana,Ribera del Duero,1500.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Pingus,Pingus,2006,4.7,280,Espana,Ribera del Duero,1190.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodegas El Nido,El Nido,2017,4.7,268,Espana,Jumilla,154.85,Red,4.0,3.0,"Carnes, pastas, quesos"
Teso La Monja,Alabaster,2016,4.7,264,Espana,Toro,135.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Quinta de la Quietud,La Mula de la Quietud,2015,4.7,256,Espana,Toro,63.75,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Vega Sicilia,Unico,1985,4.7,254,Espana,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,251,Espana,Castilla y Leon,66.07,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,243,Espana,Rioja,213.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,240,Espana,Rioja,234.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Vega Sicilia,Unico,1968,4.7,225,Espana,Ribera del Duero,2087.25,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vinedos de Paganos,La Nieta,2018,4.7,220,Espana,Rioja,89.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Vega Sicilia,Unico,1964,4.7,214,Espana,Ribera del Duero,1384.54,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1982,4.7,205,Espana,Ribera del Duero,820.98,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Pingus,Pingus,2015,4.7,203,Espana,Ribera del Duero,1250.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,196,Espana,Ribera del Duero,1500.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Pingus,Pingus,1999,4.7,184,Espana,Ribera del Duero,1715.18,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1974,4.7,173,Espana,Ribera del Duero,932.3,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,171,Espana,Priorato,1372.14,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137,Espana,Toro,78.9,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,136,Espana,Ribera del Duero,660.96,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,134,Espana,Ribera del Duero,154.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2017,4.7,133,Espana,Ribera del Duero,134.89,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,132,Espana,Priorato,1422.96,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Bodega Numanthia,Termanthia,2005,4.7,131,Espana,Toro,207.11,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,131,Espana,Ribera del Duero,340.49,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Emilio Moro,Clon De La Familia,2010,4.7,127,Espana,Ribera del Duero,317.63,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Alto Moncayo,Aquilon Garnacha,2011,4.7,123,Espana,Campo de Borja,108.9,Grenache,5.0,3.0,"Carnes blancas, quesos suaves"
Vega Sicilia,Unico,1983,4.7,118,Espana,Ribera del Duero,700.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Toro Albala,Don PX Convento Seleccion,1955,4.7,117,Espana,Montilla-Moriles,185.0,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Vega Sicilia,Unico,1980,4.7,116,Espana,Ribera del Duero,911.43,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,112,Espana,Rioja,1150.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Vega Sicilia,Unico,1972,4.7,110,Espana,Ribera del Duero,698.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodega Numanthia,Termanthia,2004,4.7,108,Espana,Toro,2814.16,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Teso La Monja,Tinto,2010,4.7,102,Espana,Toro,1325.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Alvaro Palacios,Quinon de Valmira,2015,4.7,102,Espana,Rioja,527.26,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,100,Espana,Ribera del Duero,1071.45,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,94,Espana,Priorato,299.0,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Finca Moncloa,Tintilla de Rota,2016,4.7,92,Espana,Cadiz,43.13,Unknown,4.0,3.0,unknown
Vega Sicilia,Unico,1953,4.7,89,Espana,Ribera del Duero,1207.6,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodegas Roda,Cirsion Rioja,2000,4.7,87,Espana,Rioja,175.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,82,Espana,Priorato,1252.35,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Bodegas El Nido,El Nido,2019,4.7,80,Espana,Jumilla,145.9,Red,4.0,3.0,"Carnes, pastas, quesos"
Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,74,Espana,Priorato,447.95,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,72,Espana,Ribera del Duero,813.96,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,67,Espana,Priorato,1410.26,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Martinet,Cami Pesseroles,2006,4.7,65,Espana,Priorato,182.9,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Recaredo,Turo d'en Mota,2007,4.7,64,Espana,Cava,99.0,Cava,2.0,3.0,"Aperitivos, mariscos, postres"
Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,63,Espana,Ribera del Duero,1113.2,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Clos Erasmus,Priorat,2007,4.7,60,Espana,Priorato,654.31,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,59,Espana,Ribera del Duero,134.26,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Barbadillo,Reliquia Palo Cortado Sherry,N.V.,4.7,58,Espana,Jerez Palo Cortado,380.0,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
La Rioja Alta,Gran Reserva 890,1982,4.7,57,Espana,Rioja,292.09,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,53,Espana,Jerez Palo Cortado,400.85,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
Clos Erasmus,Daphne Glorian Red,2007,4.7,51,Espana,Priorato,202.01,Red,4.0,3.0,"Carnes, pastas, quesos"
Toro Albala,Don PX Pedro Ximenez,1955,4.7,50,Espana,Montilla-Moriles,250.0,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Vinedos de Paganos,La Nieta,2019,4.7,49,Espana,Rioja,88.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Bodegas Amaren,El Regollar,2016,4.7,49,Espana,Rioja,77.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Toro Albala,Don PX Convento Seleccion,1958,4.7,47,Espana,Montilla-Moriles,191.61,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Teso La Monja,Alabaster,2018,4.7,45,Espana,Toro,123.89,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Alvear,Abuelo Diego Palo Cortado,N.V.,4.7,42,Espana,Montilla-Moriles,114.28,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Equipo Navazos,La Bota 78 de Oloroso,N.V.,4.7,41,Espana,Manzanilla,95.57,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
Morca,Touran,2018,4.7,41,Espana,Campo de Borja,93.95,Grenache,5.0,3.0,"Carnes blancas, quesos suaves"
Territorio Luthier,Luthier Gran Reserva,2012,4.7,40,Espana,Ribera del Duero,248.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Artadi,Vina El Pison,1995,4.7,39,Espana,Vino de Espana,397.0,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,37,Espana,Valdeorras,194.86,Unknown,4.0,3.0,unknown
Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,35,Espana,Cava,65.05,Cava,2.0,3.0,"Aperitivos, mariscos, postres"
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,33,Espana,Castilla y Leon,86.9,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Vina Sastre,Pesus Ribera del Duero,2004,4.7,32,Espana,Ribera del Duero,472.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Terra Remota,Usted,2010,4.7,31,Espana,Emporda,379.0,Red,4.0,3.0,"Carnes, pastas, quesos"
Dehesa de Los Canonigos,Gran Reserva,2001,4.7,31,Espana,Ribera del Duero,185.15,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,30,Espana,Ribera del Duero,94.2,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Miguel Merino,La Loma,2018,4.7,29,Espana,Rioja Alta,46.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,28,Espana,Priorato,919.6,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,27,Espana,Alicante,81.9,Unknown,4.0,3.0,unknown
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27,Espana,Rioja,680.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Vega Sicilia,Valbuena 5o,2011,4.6,6803,Espana,Ribera del Duero,218.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2012,4.6,5938,Espana,Ribera del Duero,177.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2008,4.6,5545,Espana,Ribera del Duero,187.3,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2007,4.6,5116,Espana,Ribera del Duero,195.59,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2013,4.6,4747,Espana,Ribera del Duero,135.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2009,4.6,4685,Espana,Ribera del Duero,225.2,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Alion,Ribera del Duero,2016,4.6,4516,Espana,Ribera del Duero,79.8,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,Espana,Ribera del Duero,116.187943627787,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,Espana,Ribera del Duero,89.3,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,Espana,Rioja,438.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Alion,Ribera del Duero,2017,4.6,2208,Espana,Ribera del Duero,79.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2004,4.6,1608,Espana,Ribera del Duero,249.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Espana,Ribera del Duero,129.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,Espana,Ribera del Duero,76.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2000,4.6,1015,Espana,Ribera del Duero,252.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,2002,4.6,936,Espana,Ribera del Duero,232.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodega Numanthia,Termanthia,2012,4.6,840,Espana,Toro,214.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Bodega Numanthia,Termanthia,2011,4.6,790,Espana,Toro,205.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Carmelo Rodero,Pago De Valtarrena,2015,4.6,700,Espana,Ribera del Duero,49.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,1999,4.6,595,Espana,Ribera del Duero,276.8,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Emilio Moro,Malleolus de Valderramiro,2015,4.6,516,Espana,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Pingus,Pingus,2010,4.6,410,Espana,Ribera del Duero,1359.75,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405,Espana,Ribera del Duero,81.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
